route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
8528A     ,1         ,8528A                                             ,PQ. STA. CÂNDIDA (PF1) -  USC/CLÍNICAS (PF2)  -  Via R. Bernardino de Campos                                                                                                                                                                                                                                                                                                                                                                                                                                        ,via Bernardino de Campos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,3
9011      ,1         ,9011                                              ,JD. MENDONÇA/JD. CHAPADÃO (PF1)  -  JD. ESTORIL/Via Duque de Caxias (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
9547      ,1         ,9547                                              ,JD. ELDORADO/JD. ANDORFATO (PF1)  -  AEROPORTO/JD. DONA SARAH (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
96        ,1         ,96                                                ,TIBIRIÇÁ (PF1) - BAURU (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
107       ,1         ,107                                               ,N. ESPERANÇA (PF1) -  PQ. VISTA ALEGRE (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
13        ,1         ,13                                                ,ALTO ALEGRE (PF1)  -  DUQUE/CEREJEIRAS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
14        ,1         ,14                                                ,JD. REDENTOR/CAROLINA (PF1)  -  CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
1522A     ,1         ,1522A                                             ,JD. AMÉRICA (PF1) - VILA QUAGGIO / JD. PROGRESSO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,prol. Cond. Estoril V                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3
19        ,1         ,19                                                ,UNIP/MAKRO/JD. NICÉIA (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
19B       ,1         ,19B                                               ,UNIP/MAKRO/JD. NICÉIA (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,atend Lago Sul                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
19D       ,1         ,19D                                               ,UNIP/MAKRO/JD. NICÉIA/CAMPO NOVO (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,prol. até CRAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
2629      ,1         ,2629                                              ,SANTA LUZIA/FLÓRIDA (PF1) - ALTO PARAÍSO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3240A     ,1         ,3240A                                             ,CAMPUS/CTI (PF1) -  JD. OURO VERDE/GRANJA CECÍLIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,prol. até ETA / DAE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,3
33        ,1         ,33                                                ,GASPARINI/VANUIRE (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3542      ,1         ,3542                                              ,N. OCTÁVIO RASI (PF1) -  N. ÉDSON F. DA SILVA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3934      ,1         ,3934                                              ,PQ. JARAGUÁ /IX DE JULHO (PF1)  -  N. BEIJA-FLOR / JD .SILVESTRI (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
4015A     ,1         ,4015A                                             ,JD. OURO VERDE/GRANJA CECÍLIA (PF1) - JD. AMÉRICA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,prol. Pça. Palestina                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,3
46        ,1         ,46                                                , MARY DOTA (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
4832      ,1         ,4832                                              , lSAURA P. GARMES (PF1)  -  CAMPUS/CTI (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
518       ,1         ,518                                               ,DUTRA/MARILÚ/STA CÂNDIDA (PF1)  -  SHOPPING/JD. PLANALTO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
5274B     ,1         ,5274B                                             ,POUSADA DA ESPERANÇA/via Duque (PF1) -  CENTREVILLE    (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,via Pagani                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,3
569       ,1         ,569                                               ,PARQUE REAL (PF1)  -  PRAÇA DO LÍBANO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
587       ,1         ,587                                               ,VILA DUTRA (PF1) - IPMET/CAMPUS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
6072A     ,1         ,6072A                                             ,PQ. DOS SABIÁS/JOAQUIM GUILHERME (PF1) - HIGIENÓPOLIS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,prol. até FIB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,3
7031A     ,1         ,7031A                                             ,N. JOAQUIM GUILHERME (PF1)  -  RODOVIÁRIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
7180A     ,1         ,7180A                                             ,PQ. ROOSEVELTE/ DISTRITO INDUSTRIAL III (PF1)  -  DISTRITO INDUSTRIAL I   (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                     ,via Vila Falcão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,3
7693      ,1         ,7693                                              ,PQ. FLAMBOYANTS (PF1)  -  N. ÉDSON F. SILVA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
8544      ,1         ,8544                                              ,PQ. STA. CÂNDIDA (PF1) -VL. LEME/JD. EUROPA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
90        ,1         ,90                                                ,VALE DO IGAPÓ (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
92        ,1         ,92                                                ,INTERBAIRROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,AH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,3
1011      ,1         ,1011                                              ,N. ESPERANÇA (PF1) - V. SAMARITANA/JD. ESTORIL (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
1644      ,1         ,1644                                              ,PARAÍSO/DUTRA  (PF1) - VILLÁGIO/JD. EUROPA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
1812      ,1         ,1812                                              ,SHOPPING/JD. PLANALTO (PF1)  -  VL. LEMOS/VL. QUAGGIO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
19F       ,1         ,19F                                               ,CRAL (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,prol. até Resid. Campo Novo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,3
2.3       ,1         ,2.3                                               ,GERSON FRANÇA/VÂNIA MARIA (PF1)  -  DUQUE/CEREJEIRAS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
30A       ,1         ,30A                                               ,PRES. GEISEL/VIA CRUZEIRO DO SUL (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,via Cruzeiro do Sul                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,3
30B       ,1         ,30B                                               ,PRES. GEISEL/VIA SORRI (PF1) - CENTRO ( PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,via Sorri                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,3
33A       ,1         ,33A                                               ,GASPARINI/VANUIRE (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,via Moussa Tobias                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
436       ,1         ,436                                               ,VL. GARCIA/JD. TV (PF1)  -  VL. INDEPENDÊNCIA/VL. MARIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
499       ,1         ,499                                               ,PQ. DAS NAÇÕES (PF1) - PÇA DO LÍBANO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
5162      ,1         ,5162                                              ,PQ. STA. EDWIRGES (PF1)  -   SAMAMBAIA (PF2) - via Bela Vista                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
5162A     ,1         ,5162A                                             ,PQ. SANTA. EDWIRGES (PF1)  -   SAMAMBAIA (PF2) - Via Falcão                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,via Vila Falcão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,3
5274A     ,1         ,5274A                                             ,POUSADA DA ESPERANÇA/via Av. Rodrigues Alves   (PF1) -  CENTREVILLE    (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                        ,via Moussa Tobias                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
587A      ,1         ,587A                                              ,Vila Dutra - IPMET/Campus (atendimento Zoológico)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
6778      ,1         ,6778                                              ,BOSQUE DA SAÚDE/PQ. VIADUTO (PF1)  -  JD. EUROPA/JD. AMÉRICA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
6869      ,1         ,6869                                              ,JARDIM FERRAZ  (PF1) -  PQ. JULIO NOBREGA   (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
7031A     ,1         ,7031A                                             ,N. JOAQUIM GUILHERME (PF1)  -  RODOVIÁRIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,prol. até FIB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,3
7180      ,1         ,7180                                              ,PQ. ROOSEVELTE/ DISTRITO INDUSTRIAL III (PF1)  -  DISTRITO INDUSTRIAL I   (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                     ,via Bela Vista                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
82        ,1         ,82                                                , NOBUJI NAGASAWA (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
91        ,1         ,91                                                ,INTERBAIRROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,H                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
9411      ,1         ,9411                                              ,JD. MARÍLIA (PF1) - JD. ESTORIL/ VL. SAMARITANA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
96A       ,1         ,96A                                               ,TIBIRIÇÁ (PF1) - BAURU (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Até Sta Maria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,3
97        ,1         ,97                                                ,BAURU ESPECIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
98        ,1         ,98                                                ,STA. TEREZINHA / INST. LAURO DE S. LIMA/UNIMED (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
